ZIP CODE,Driver Inattention,Failure to Yield,Following Too Closely,Improper Lane Usage,Unsafe Lane Change,Unsafe Speed
11368.0,856.0,189.0,120.0,77.0,24.0,63.0
11369,10.0,9.0,,,,
11369.0,302.0,92.0,26.0,24.0,,24.0
11370,8.0,3.0,5.0,,,
11370.0,170.0,36.0,26.0,22.0,6.0,11.0
11372,13.0,11.0,,,,
11372.0,499.0,82.0,62.0,35.0,7.0,10.0
11373,58.0,30.0,,2.0,1.0,
11373.0,576.0,253.0,183.0,89.0,45.0,21.0
11374,13.0,7.0,,,,
11374.0,155.0,235.0,199.0,56.0,62.0,4.0
11375,11.0,18.0,,,,2.0
11375.0,192.0,240.0,255.0,95.0,53.0,44.0
11377,34.0,21.0,1.0,,,
11377.0,754.0,200.0,178.0,47.0,18.0,57.0
11378,29.0,3.0,1.0,,,
11378.0,343.0,119.0,87.0,70.0,17.0,38.0
11379,14.0,3.0,,,,
11379.0,216.0,121.0,120.0,67.0,2.0,13.0
11385,35.0,21.0,1.0,,,
11385.0,516.0,300.0,171.0,160.0,29.0,57.0
11411,2.0,16.0,1.0,,,
11411.0,113.0,44.0,19.0,27.0,4.0,25.0
11412,69.0,41.0,1.0,,,
11412.0,505.0,90.0,43.0,109.0,17.0,40.0
11413,23.0,28.0,4.0,,,
11413.0,425.0,145.0,114.0,21.0,35.0,39.0
11414,17.0,12.0,,,1.0,
11414.0,255.0,55.0,46.0,30.0,15.0,16.0
11415,32.0,,,,,
11415.0,182.0,25.0,31.0,17.0,4.0,14.0
11416,66.0,9.0,,,,
11416.0,411.0,81.0,17.0,13.0,,19.0
11417,64.0,10.0,,,,
11417.0,284.0,93.0,96.0,28.0,39.0,24.0
11418,39.0,6.0,,,,
11418.0,493.0,101.0,47.0,46.0,20.0,14.0
11419,72.0,31.0,1.0,,,1.0
11419.0,615.0,137.0,33.0,38.0,7.0,41.0
11420,35.0,43.0,,,,
11420.0,435.0,218.0,156.0,119.0,53.0,61.0
11421,59.0,12.0,,,,
11421.0,341.0,62.0,68.0,40.0,34.0,20.0
11422,23.0,21.0,,,,
11422.0,318.0,122.0,84.0,26.0,28.0,34.0
11423,40.0,24.0,1.0,,,
11423.0,466.0,66.0,55.0,40.0,23.0,55.0
11426,2.0,8.0,,,,
11426.0,185.0,34.0,31.0,40.0,,10.0
11427,10.0,21.0,,,,
11427.0,159.0,43.0,50.0,16.0,8.0,3.0
11428,7.0,13.0,2.0,,,
11428.0,89.0,57.0,25.0,7.0,14.0,22.0
11429,14.0,14.0,,,,
11429.0,251.0,86.0,13.0,19.0,4.0,16.0
11430.0,,18.0,,,4.0,
11432,74.0,24.0,,,,
11432.0,902.0,103.0,93.0,109.0,42.0,52.0
11433,101.0,19.0,,,,
11433.0,611.0,137.0,39.0,40.0,31.0,69.0
11434,90.0,38.0,6.0,,,
11434.0,1168.0,170.0,89.0,85.0,54.0,57.0
11435,76.0,37.0,8.0,,,
11435.0,658.0,155.0,83.0,41.0,17.0,37.0
11436,21.0,7.0,2.0,,,2.0
11436.0,244.0,81.0,33.0,8.0,19.0,
11691,29.0,15.0,,,,
11691.0,397.0,49.0,100.0,43.0,12.0,57.0
11692,10.0,1.0,,,,
11692.0,110.0,,26.0,5.0,,5.0
11693,21.0,,1.0,,,
11693.0,76.0,26.0,58.0,7.0,20.0,
11694,12.0,6.0,,,,
11694.0,172.0,26.0,34.0,6.0,9.0,4.0
11695,4.0,,,,,
11697,2.0,,,,,
